ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1.0,0.0,-0.0,223.448,-0.208241,-0.0432703,28.1251,39.5007,69.8937,155.863,75.6154,32.8747,21.4188,16.2499,13.4192,11.732,10.7108,10.1365,9.90627,0.0432703,0.208241,223.448,0.0,0.0,1.0
1.0,0.0,-0.0,223.57,-0.203697,-0.0430328,28.0298,39.3747,69.7057,154.582,75.9128,33.0385,21.5319,16.3381,13.4933,11.7976,10.7712,10.1941,9.96301,0.0430328,0.203697,223.57,0.0,0.0,1.0
1.0,0.0,-0.0,223.693,-0.199172,-0.0428006,27.9347,39.2488,69.5167,153.298,76.2103,33.2018,21.6446,16.426,13.5671,11.8629,10.8314,10.2515,10.0195,0.0428006,0.199172,223.693,0.0,0.0,1.0
1.0,0.0,-0.0,223.816,-0.194668,-0.0425751,27.8396,39.1227,69.3264,152.009,76.5087,33.3648,21.7569,16.5135,13.6406,11.9279,10.8913,10.3087,10.0758,0.0425751,0.194668,223.816,0.0,0.0,1.0
1.0,0.0,-0.0,223.938,-0.190184,-0.0423567,27.7446,38.9965,69.1347,150.717,76.8083,33.5274,21.8689,16.6007,13.7138,11.9926,10.9509,10.3655,10.1318,0.0423567,0.190184,223.938,0.0,0.0,1.0
1.0,0.0,-0.0,224.061,-0.185719,-0.0421416,27.6499,38.8705,68.9426,149.422,77.1071,33.6894,21.9804,16.6876,13.7867,12.0571,11.0103,10.4222,10.1876,0.0421416,0.185719,224.061,0.0,0.0,1.0
1.0,0.0,-0.0,224.184,-0.181275,-0.0419242,27.5557,38.7452,68.7521,148.126,77.4016,33.8501,22.0912,16.774,13.8592,12.1212,11.0695,10.4786,10.2431,0.0419242,0.181275,224.184,0.0,0.0,1.0
1.0,0.0,-0.0,224.306,-0.17685,-0.0417067,27.4619,38.6204,68.5624,146.829,77.6932,34.0097,22.2014,16.8598,13.9313,12.1851,11.1283,10.5347,10.2983,0.0417067,0.17685,224.306,0.0,0.0,1.0
1.0,0.0,-0.0,224.428,-0.172446,-0.0414898,27.3685,38.4962,68.3733,145.53,77.9823,34.1683,22.3109,16.9453,14.0031,12.2486,11.1868,10.5906,10.3533,0.0414898,0.172446,224.428,0.0,0.0,1.0
1.0,0.0,-0.0,224.55,-0.168062,-0.0412766,27.2753,38.3721,68.1839,144.229,78.2707,34.3263,22.42,17.0303,14.0745,12.3118,11.2451,10.6462,10.4081,0.0412766,0.168062,224.55,0.0,0.0,1.0
1.0,0.0,-0.0,224.672,-0.163698,-0.0410678,27.1824,38.2481,67.9939,142.925,78.559,34.4837,22.5286,17.1151,14.1457,12.3748,11.3031,10.7015,10.4626,0.0410678,0.163698,224.672,0.0,0.0,1.0
1.0,0.0,-0.0,224.795,-0.159352,-0.0408594,27.0898,38.1246,67.8045,141.619,78.8448,34.6402,22.6367,17.1993,14.2165,12.4374,11.3609,10.7567,10.5169,0.0408594,0.159352,224.795,0.0,0.0,1.0
